Altaic,Ural-Altaic,Turkic,Mongolic,Tungusic,Korean,Japonic,,3,Altaic Ural-Altaic Borean Mothertongue  
Turkic,Altaic,Oghuz,Kipchak,Karluk,Siberian-Turkic,,,4,Turkic Altaic Ural-Altaic Borean Mothertongue 
Oghuz,Turkic,,,,,,,5,Oghuz Turkic Altaic Ural-Altaic Borean Mothertongue 
Kipchak,Turkic,,,,,,,5,Kipchak Turkic Altaic Ural-Altaic Borean Mothertongue 
Karluk,Turkic,,,,,,,5,Karluk Turkic Altaic Ural-Altaic Borean Mothertongue 
Siberian-Turkic,Turkic,,,,,,,5,Siberian-Turkic Turkic Altaic Ural-Altaic Borean Mothertongue 
Mongolic,Altaic,,,,,,,4,Mongolic Altaic Ural-Altaic Borean Mothertongue 
Tungusic,Altaic,,,,,,,4,Tungusic Altaic Ural-Altaic Borean Mothertongue 
Korean,Altaic,,,,,,,4,Korean Altaic Ural-Altaic Borean Mothertongue 
Japonic,Altaic,,,,,,,4,Japonic Altaic Ural-Altaic Borean Mothertongue 
Uralic,Ural-Altaic,Finnic,Hungarian,Samoyedic,,,,3,Uralic Ural-Altaic Borean Mothertongue  
Finnic,Uralic,,,,,,,4,Finnic Uralic Ural-Altaic Borean Mothertongue  
Hungarian,Uralic,,,,,,,4,Hungarian Uralic Ural-Altaic Borean Mothertongue  
Samoyedic,Uralic,,,,,,,4,Samoyedic Uralic Ural-Altaic Borean Mothertongue  
Paleo-Siberian,Ural-Altaic,Chukotian,Eskimo-Aleutian,,,,,3,Paleo-Siberian Ural-Altaic Borean Mothertongue  
Chukotian,Paleo-Siberian,,,,,,,4,Chukotian Paleo-Siberian Ural-Altaic Borean Mothertongue 
Eskimo-Aleutian,Paleo-Siberian,,,,,,,4,Eskimo-Aleutian Paleo-Siberian Ural-Altaic Borean Mothertongue 
Dravidian,Ural-Altaic,,,,,,,3,Dravidian Ural-Altaic Borean Mothertongue  
Sino-Caucasian,Borean,Sino-Tibetan,Caucasian,Basque,,,,2,Sino-Caucasian Borean Mothertongue   
Sino-Tibetan,Sino-Caucasian,Sinitic,Tibeto-Burman,,,,,3,Sino-Tibetan Sino-Caucasian Borean Mothertongue  
Sinitic,Sino-Tibetan,Mandarin,South-Chinese,,,,,4,Sinitic Sino-Tibetan Sino-Caucasian Borean Mothertongue 
Mandarin,Sinitic,,,,,,,5,Mandarin Sinitic Sino-Tibetan Sino-Caucasian Borean Mothertongue 
South-Chinese,Sinitic,,,,,,,5,South-Chinese Sinitic Sino-Tibetan Sino-Caucasian Borean Mothertongue 
Tibeto-Burman,Sino-Tibetan,Tibetan,Burmese,,,,,4,Tibeto-Burman Sino-Tibetan Sino-Caucasian Borean Mothertongue 
Tibetan,Tibeto-Burman,,,,,,,5,Tibetan Tibeto-Burman Sino-Tibetan Sino-Caucasian Borean Mothertongue 
Burmese,Tibeto-Burman,,,,,,,5,Burmese Tibeto-Burman Sino-Tibetan Sino-Caucasian Borean Mothertongue 
Caucasian,Sino-Caucasian,,,,,,,3,Caucasian Sino-Caucasian Borean Mothertongue  
Basque,Sino-Caucasian,,,,,,,3,Basque Sino-Caucasian Borean Mothertongue  
Austric,Borean,Tai-Kadai,Austro-Asiatic,Austronesian,,,,2,Austric Borean Mothertongue   
Tai-Kadai,Austric,,,,,,,3,Tai-Kadai Austric Borean Mothertongue  
Austro-Asiatic,Austric,,,,,,,3,Austro-Asiatic Austric Borean Mothertongue  
Austronesian,Austric,Malayo-Polynesian,Oceanic,,,,,3,Austronesian Austric Borean Mothertongue  
Malayo-Polynesian,Austronesian,,,,,,,4,Malayo-Polynesian Austronesian Austric Borean Mothertongue  
Oceanic,Austronesian,,,,,,,4,Oceanic Austronesian Austric Borean Mothertongue  
Paleo-Melanesian,Mothertongue,Papuan,Aboriginal,Melanesian,,,,1,Paleo-Melanesian Mothertongue    
Aboriginal,Paleo-Melanesian,,,,,,,2,Aboriginal Paleo-Melanesian Mothertongue   
Papuan,Paleo-Melanesian,,,,,,,2,Papuan Paleo-Melanesian Mothertongue   
Melanesian,Paleo-Melanesian,,,,,,,2,Melanesian Paleo-Melanesian Mothertongue   
Creole,Mothertongue,,,,,,,1,Creole Mothertongue
